time,open,high,low,close,tick_volume,spread,real_volume
2025-03-06 07:00:00,2920.57,2922.46,2909.67,2910.06,18582,29,0
2025-03-06 08:00:00,2910.07,2911.25,2900.98,2904.72,18657,29,0
2025-03-06 09:00:00,2904.72,2905.31,2891.23,2894.16,16366,29,0
2025-03-06 10:00:00,2894.16,2905.13,2891.84,2899.18,16022,29,0
2025-03-06 11:00:00,2899.18,2907.53,2898.53,2905.71,11893,29,0
2025-03-06 12:00:00,2905.74,2907.11,2899.28,2903.16,13998,29,0
2025-03-06 13:00:00,2903.16,2909.32,2900.74,2904.4,20120,29,0
2025-03-06 14:00:00,2904.39,2916.57,2903.23,2915.06,22967,29,0
2025-03-06 15:00:00,2915.07,2922.64,2909.07,2914.45,25687,29,0
2025-03-06 16:00:00,2914.45,2918.41,2912.5,2917.11,15681,29,0
2025-03-06 17:00:00,2917.11,2921.34,2914.32,2915.42,13897,29,0
2025-03-06 18:00:00,2915.47,2920.53,2913.75,2916.22,10784,29,0
2025-03-06 19:00:00,2916.22,2917.56,2912.32,2913.93,9950,29,0
2025-03-06 20:00:00,2913.93,2916.5,2908.36,2908.7,10474,29,0
2025-03-06 21:00:00,2908.7,2911.78,2908.31,2910.84,2918,29,0
2025-03-06 23:00:00,2911.88,2913.46,2909.77,2910.35,4259,29,0
2025-03-07 00:00:00,2910.37,2910.37,2896.5,2904.68,8306,29,0
2025-03-07 01:00:00,2904.69,2910.09,2901.42,2906.75,14349,29,0
2025-03-07 02:00:00,2906.75,2909.13,2901.22,2908.02,13794,29,0
2025-03-07 03:00:00,2908.02,2908.91,2903.92,2905.3,8817,29,0
2025-03-07 04:00:00,2905.29,2908.34,2904.79,2906.54,6864,29,0
2025-03-07 05:00:00,2906.54,2912.4,2906.37,2909.51,10762,29,0
2025-03-07 06:00:00,2909.51,2914.7,2907.72,2913.43,10040,29,0
2025-03-07 07:00:00,2913.44,2917.29,2911.67,2917.11,8712,29,0
2025-03-07 08:00:00,2917.11,2922.92,2915.12,2922.34,10808,29,0
2025-03-07 09:00:00,2922.34,2922.91,2920.13,2921.5,7580,29,0
2025-03-07 10:00:00,2921.49,2921.82,2917.02,2917.89,8994,29,0
2025-03-07 11:00:00,2917.89,2921.96,2916.62,2918.7,8157,29,0
2025-03-07 12:00:00,2918.7,2922.71,2917.9,2918.7,9480,29,0
2025-03-07 13:00:00,2918.7,2926.31,2910.01,2913.62,25226,29,0
2025-03-07 14:00:00,2913.61,2928.63,2903.66,2926.72,26724,29,0
2025-03-07 15:00:00,2926.73,2930.38,2908.46,2915.78,26248,29,0
2025-03-07 16:00:00,2915.78,2919.36,2911.52,2913.98,19531,29,0
2025-03-07 17:00:00,2913.98,2916.22,2904.95,2908.1,18124,29,0
2025-03-07 18:00:00,2908.1,2908.73,2901.94,2906.49,14915,29,0
2025-03-07 19:00:00,2906.49,2909.47,2904.59,2905.2,10260,29,0
2025-03-07 20:00:00,2905.19,2911.15,2904.74,2909.6,10042,29,0
2025-03-07 21:00:00,2909.6,2912.52,2908.1,2909.22,2935,29,0
2025-03-09 22:00:00,2912.19,2915.02,2909.59,2911.86,5632,29,0
2025-03-09 23:00:00,2911.84,2916.81,2911.35,2916.11,4601,29,0
2025-03-10 00:00:00,2916.12,2917.86,2913.03,2913.77,8142,29,0
2025-03-10 01:00:00,2913.79,2918.16,2911.2,2911.98,12244,29,0
2025-03-10 02:00:00,2911.98,2914.47,2909.46,2911.46,9718,29,0
2025-03-10 03:00:00,2911.46,2913.5,2908.02,2910.86,8547,29,0
2025-03-10 04:00:00,2910.86,2912.59,2910.18,2910.86,4723,29,0
2025-03-10 05:00:00,2910.86,2911.83,2906.89,2909.78,7968,29,0
