time,open,high,low,close,tick_volume,spread,real_volume
2025-10-22 19:45:00,4103.05,4108.41,4100.06,4106.8,1636,37,0
2025-10-22 19:50:00,4106.83,4107.2,4099.84,4101.72,2044,37,0
2025-10-22 19:55:00,4101.94,4107.42,4100.3,4102.17,1959,37,0
2025-10-22 20:00:00,4101.96,4104.59,4098.36,4101.59,1026,37,0
2025-10-22 20:05:00,4101.59,4103.99,4100.77,4102.9,927,37,0
2025-10-22 20:10:00,4102.85,4104.98,4102.71,4104.59,748,37,0
2025-10-22 20:15:00,4104.59,4106.98,4100.36,4101.23,829,37,0
2025-10-22 20:20:00,4101.22,4102.62,4088.16,4088.66,1440,37,0
2025-10-22 20:25:00,4088.66,4096.36,4088.66,4091.95,1685,37,0
2025-10-22 20:30:00,4091.97,4096.26,4091.8,4096.01,849,37,0
2025-10-22 20:35:00,4096.01,4102.49,4096.01,4099.94,807,37,0
2025-10-22 20:40:00,4099.94,4103.63,4098.84,4101.96,626,37,0
2025-10-22 20:45:00,4101.96,4103.51,4099.52,4102.06,511,37,0
2025-10-22 20:50:00,4102.06,4102.68,4099.07,4100.2,407,37,0
2025-10-22 20:55:00,4100.2,4101.06,4097.5,4098.34,545,37,0
2025-10-22 22:00:00,4105.55,4115.54,4101.4,4110.37,1207,37,0
2025-10-22 22:05:00,4110.37,4110.71,4099.67,4100.38,704,37,0
2025-10-22 22:10:00,4100.39,4100.81,4092.92,4098.14,853,37,0
2025-10-22 22:15:00,4098.15,4107.83,4098.15,4106.37,759,37,0
2025-10-22 22:20:00,4106.37,4110.16,4099.77,4109.59,748,37,0
2025-10-22 22:25:00,4109.66,4109.66,4100.81,4102.69,467,37,0
2025-10-22 22:30:00,4102.59,4102.79,4091.96,4093.33,953,37,0
2025-10-22 22:35:00,4093.35,4100.78,4093.35,4096.71,620,37,0
2025-10-22 22:40:00,4096.71,4099.42,4095.87,4097.91,399,37,0
2025-10-22 22:45:00,4097.91,4098.24,4094.67,4094.67,330,37,0
2025-10-22 22:50:00,4094.67,4103.69,4094.67,4098.67,535,37,0
2025-10-22 22:55:00,4098.67,4101.77,4098.67,4101.77,489,37,0
2025-10-22 23:00:00,4101.84,4104.54,4099.67,4101.45,803,37,0
2025-10-22 23:05:00,4101.45,4101.47,4093.39,4095.36,878,37,0
2025-10-22 23:10:00,4095.36,4095.74,4084.51,4090.5,1036,37,0
2025-10-22 23:15:00,4090.5,4091.34,4083.99,4088.24,867,37,0
2025-10-22 23:20:00,4088.24,4090.81,4086.86,4088.28,508,37,0
2025-10-22 23:25:00,4088.41,4090.15,4080.16,4085.9,802,37,0
2025-10-22 23:30:00,4085.9,4094.63,4083.63,4093.25,802,37,0
2025-10-22 23:35:00,4093.25,4093.99,4090.06,4090.15,717,37,0
2025-10-22 23:40:00,4090.15,4090.84,4087.21,4088.61,560,37,0
2025-10-22 23:45:00,4088.61,4092.59,4085.39,4086.68,1181,37,0
2025-10-22 23:50:00,4086.68,4092.52,4085.34,4090.15,1374,37,0
2025-10-22 23:55:00,4090.13,4092.9,4087.43,4087.46,1322,37,0
2025-10-23 00:00:00,4087.41,4096.5,4083.05,4094.64,1564,37,0
2025-10-23 00:05:00,4094.64,4095.46,4088.43,4091.88,1505,37,0
2025-10-23 00:10:00,4091.88,4092.74,4085.58,4085.58,1204,37,0
2025-10-23 00:15:00,4085.58,4087.29,4080.98,4081.54,1952,37,0
2025-10-23 00:20:00,4081.54,4082.04,4065.85,4071.28,2567,37,0
2025-10-23 00:25:00,4071.29,4076.27,4067.11,4075.81,1638,37,0
2025-10-23 00:30:00,4075.85,4084.12,4075.58,4082.43,1484,37,0
2025-10-23 00:35:00,4082.43,4083.04,4071.67,4078.42,1324,37,0
2025-10-23 00:40:00,4078.42,4081.39,4077.67,4081.39,1027,37,0
2025-10-23 00:45:00,4081.56,4084.34,4079.9,4082.69,1628,37,0
2025-10-23 00:50:00,4082.58,4085.72,4079.32,4083.79,1511,37,0
2025-10-23 00:55:00,4083.77,4085.08,4079.65,4081.63,1160,37,0
2025-10-23 01:00:00,4081.63,4081.79,4072.95,4075.44,2017,37,0
2025-10-23 01:05:00,4075.44,4081.73,4071.55,4073.04,1600,37,0
2025-10-23 01:10:00,4072.57,4080.98,4072.44,4077.5,1507,37,0
2025-10-23 01:15:00,4077.53,4079.3,4073.68,4076.44,1262,37,0
2025-10-23 01:20:00,4076.46,4090.74,4076.29,4090.59,1974,37,0
2025-10-23 01:25:00,4090.57,4092.6,4086.78,4087.02,1465,37,0
2025-10-23 01:30:00,4087.02,4089.55,4083.97,4087.92,1252,37,0
2025-10-23 01:35:00,4087.92,4089.06,4085.7,4087.29,1036,37,0
2025-10-23 01:40:00,4087.29,4091.53,4081.24,4081.86,1413,37,0
2025-10-23 01:45:00,4081.86,4087.01,4077.76,4080.16,1548,37,0
2025-10-23 01:50:00,4080.16,4083.04,4078.33,4078.47,1214,37,0
2025-10-23 01:55:00,4078.4,4079.27,4072.88,4073.05,1229,37,0
2025-10-23 02:00:00,4073.02,4078.13,4071.93,4076.45,1224,37,0
2025-10-23 02:05:00,4076.45,4078.83,4076.26,4077.11,957,37,0
2025-10-23 02:10:00,4077.11,4078.7,4074.4,4075.34,990,37,0
2025-10-23 02:15:00,4075.37,4077.52,4071.93,4074.46,1097,37,0
2025-10-23 02:20:00,4074.43,4079.73,4072.61,4078.63,1033,37,0
2025-10-23 02:25:00,4078.59,4084.78,4078.59,4081.12,926,37,0
2025-10-23 02:30:00,4081.15,4084.56,4079.23,4081.5,1561,37,0
2025-10-23 02:35:00,4081.53,4084.59,4079.58,4079.67,1188,37,0
2025-10-23 02:40:00,4079.67,4079.76,4076.14,4079.55,894,37,0
2025-10-23 02:45:00,4079.55,4084.16,4078.45,4083.11,813,37,0
2025-10-23 02:50:00,4083.11,4083.62,4079.78,4080.89,894,37,0
2025-10-23 02:55:00,4080.89,4085.21,4080.63,4082.28,1321,37,0
2025-10-23 03:00:00,4082.26,4084.0,4077.9,4082.56,1271,37,0
2025-10-23 03:05:00,4082.59,4085.14,4082.28,4084.9,945,37,0
2025-10-23 03:10:00,4084.9,4088.56,4083.69,4088.53,900,37,0
2025-10-23 03:15:00,4088.43,4096.4,4088.43,4095.89,1567,37,0
2025-10-23 03:20:00,4095.91,4100.1,4094.63,4099.48,1388,37,0
2025-10-23 03:25:00,4099.5,4100.52,4095.04,4095.25,1324,37,0
2025-10-23 03:30:00,4095.23,4095.89,4089.76,4090.41,856,37,0
2025-10-23 03:35:00,4090.41,4093.97,4089.6,4093.41,890,37,0
2025-10-23 03:40:00,4093.45,4094.84,4091.49,4093.23,750,37,0
2025-10-23 03:45:00,4093.2,4093.95,4090.36,4091.97,763,37,0
2025-10-23 03:50:00,4091.97,4092.03,4089.54,4090.01,732,37,0
2025-10-23 03:55:00,4089.96,4092.18,4089.89,4090.98,545,37,0
2025-10-23 04:00:00,4090.98,4091.58,4089.11,4090.41,700,37,0
2025-10-23 04:05:00,4090.41,4091.0,4087.53,4087.59,748,37,0
2025-10-23 04:10:00,4087.59,4091.66,4087.34,4091.2,827,37,0
2025-10-23 04:15:00,4091.23,4092.87,4087.38,4087.42,776,37,0
2025-10-23 04:20:00,4087.39,4087.86,4082.86,4085.09,848,37,0
2025-10-23 04:25:00,4085.09,4085.74,4079.61,4084.33,853,37,0
2025-10-23 04:30:00,4084.33,4087.28,4082.24,4087.18,702,37,0
2025-10-23 04:35:00,4087.18,4089.9,4086.39,4087.29,643,37,0
2025-10-23 04:40:00,4087.3,4088.25,4085.17,4087.25,428,37,0
2025-10-23 04:45:00,4087.26,4090.34,4086.25,4090.04,477,37,0
2025-10-23 04:50:00,4090.03,4090.92,4086.56,4089.85,823,37,0
2025-10-23 04:55:00,4089.85,4091.33,4088.23,4089.45,992,37,0
2025-10-23 05:00:00,4089.45,4091.12,4088.37,4089.88,647,37,0
2025-10-23 05:05:00,4089.92,4092.65,4089.47,4092.35,809,37,0
2025-10-23 05:10:00,4092.35,4093.86,4088.5,4090.97,719,37,0
2025-10-23 05:15:00,4090.96,4091.83,4088.92,4088.96,809,37,0
2025-10-23 05:20:00,4088.96,4089.32,4084.12,4085.49,936,37,0
2025-10-23 05:25:00,4085.49,4089.42,4083.83,4089.37,811,37,0
2025-10-23 05:30:00,4089.37,4098.08,4088.58,4094.36,1729,37,0
2025-10-23 05:35:00,4094.3,4095.46,4090.53,4093.37,1001,37,0
2025-10-23 05:40:00,4093.37,4096.86,4090.87,4096.54,857,37,0
2025-10-23 05:45:00,4096.54,4099.32,4096.43,4098.76,786,37,0
